layer_num,helmet_cite__32768::suite,helmet_icl__32768::suite,helmet_rag__32768::suite,helmet_recall__32768::suite,helmet_rerank__32768::suite
-1,0.2228053333333333,0.8000000000000002,0.5991666666666666,0.683125,0.319931
0,0.2379456666666667,0.8006666666666667,0.5525,0.683125,0.324365
1,0.239005,0.7986666666666666,0.6491666666666666,0.683125,0.335388
2,0.237782,0.8053333333333333,0.6183333333333333,0.683125,0.3303593333333333
3,0.256308,0.8006666666666667,0.6208333333333335,0.6864583333333334,0.3388849999999999
4,0.229133,0.7993333333333332,0.6191666666666666,0.683125,0.3124863333333333
5,0.2398556666666667,0.806,0.6108333333333333,0.67,0.3288283333333333
6,0.2342223333333333,0.8000000000000002,0.6066666666666666,0.6843749999999998,0.3283643333333333
7,0.2531203333333333,0.8026666666666668,0.5924999999999999,0.5604166666666667,0.3133466666666666
8,0.2048286666666666,0.8079999999999999,0.5958333333333333,0.6581250000000001,0.2966593333333333
9,0.2463213333333333,0.79,0.6074999999999999,0.7054166666666667,0.3044036666666667
10,0.2161736666666666,0.806,0.6258333333333334,0.67,0.3152793333333333
11,0.245395,0.8246666666666668,0.5683333333333334,0.680625,0.3672723333333333
12,0.2277426666666666,0.8126666666666668,0.6016666666666667,0.6875,0.24665
13,0.1878373333333333,0.7473333333333333,0.5499999999999999,0.5972916666666667,0.2195263333333333
14,0.1652443333333333,0.8233333333333334,0.5933333333333333,0.700625,0.3085586666666666
15,0.0708355666666666,0.7600000000000001,0.5750000000000001,0.5610416666666667,0.2860053333333333
16,0.1558143333333333,0.79,0.5816666666666667,0.678125,0.2415439999999999
17,0.1144376666666666,0.7433333333333333,0.58,0.7014583333333334,0.2189993333333333
18,0.1237166666666666,0.7839999999999999,0.6,0.7177083333333334,0.2900043333333333
19,0.160884,0.79,0.6008333333333332,0.5127083333333333,0.239613
20,0.1664126666666666,0.7906666666666666,0.6066666666666668,0.7000000000000001,0.1966823333333333
21,0.1116643333333333,0.7853333333333333,0.5658333333333333,0.60125,0.279635
22,0.214785,0.7959999999999999,0.6033333333333334,0.6789583333333334,0.3101483333333333
23,0.2190936666666666,0.8079999999999999,0.6124999999999999,0.6825,0.303515
24,0.2213483333333333,0.77,0.5724999999999999,0.611875,0.2665686666666667
25,0.2269996666666666,0.7766666666666667,0.6141666666666666,0.68125,0.3250263333333333
26,0.2409796666666666,0.798,0.6150000000000001,0.6885416666666667,0.3408826666666666
27,0.2350276666666666,0.806,0.6283333333333333,0.685,0.3689243333333333
28,0.2131916666666666,0.8046666666666665,0.6216666666666667,0.6820833333333334,0.3273826666666666
29,0.2310973333333333,0.7813333333333333,0.6283333333333333,0.679375,0.2973106666666666
30,0.2354136666666666,0.8006666666666667,0.59,0.683125,0.3228163333333333
31,0.233115,0.7986666666666666,0.6124999999999999,0.68,0.3128796666666666
32,0.2249236666666666,0.794,0.6241666666666666,0.68125,0.3452269999999999
33,0.2272803333333333,0.7986666666666666,0.5975,0.6818750000000001,0.3300993333333333
34,0.2245636666666666,0.8019999999999999,0.6158333333333333,0.683125,0.3377783333333333
35,0.2169543333333333,0.8006666666666667,0.63,0.6858333333333334,0.3067046666666667
